,image_game_rewards,ram_game_rewards,mix_game_rewards,Episode
198,2.0,5.0,3.0,198
199,4.0,10.0,7.0,199
200,7.0,1.0,6.0,200
201,8.0,3.0,5.0,201
202,3.0,5.0,9.0,202
203,4.0,4.0,11.0,203
204,5.0,9.0,7.0,204
205,3.0,3.0,5.0,205
206,6.0,12.0,3.0,206
207,7.0,4.0,8.0,207
208,6.0,8.0,3.0,208
209,2.0,0.0,5.0,209
210,3.0,4.0,8.0,210
211,4.0,12.0,6.0,211
212,15.0,3.0,4.0,212
213,4.0,8.0,8.0,213
214,6.0,4.0,7.0,214
215,2.0,4.0,1.0,215
216,3.0,2.0,5.0,216
217,5.0,6.0,5.0,217
218,9.0,1.0,3.0,218
219,7.0,4.0,5.0,219
220,5.0,3.0,3.0,220
221,4.0,1.0,4.0,221
222,12.0,6.0,2.0,222
223,2.0,9.0,1.0,223
224,9.0,9.0,10.0,224
225,11.0,8.0,3.0,225
226,1.0,2.0,1.0,226
227,4.0,4.0,10.0,227
228,4.0,4.0,3.0,228
229,5.0,13.0,7.0,229
230,6.0,8.0,3.0,230
231,2.0,2.0,6.0,231
232,8.0,1.0,1.0,232
233,5.0,3.0,4.0,233
234,2.0,5.0,4.0,234
235,3.0,2.0,4.0,235
236,7.0,5.0,4.0,236
237,8.0,8.0,5.0,237
238,2.0,3.0,8.0,238
239,3.0,6.0,3.0,239
240,2.0,7.0,1.0,240
241,8.0,8.0,7.0,241
242,9.0,13.0,4.0,242
243,4.0,1.0,3.0,243
244,5.0,2.0,1.0,244
245,7.0,2.0,9.0,245
246,9.0,6.0,12.0,246
247,6.0,5.0,9.0,247
248,7.0,5.0,4.0,248
249,4.0,8.0,13.0,249
250,5.0,6.0,2.0,250
251,2.0,10.0,3.0,251
252,9.0,3.0,4.0,252
253,3.0,4.0,8.0,253
254,7.0,4.0,1.0,254
255,1.0,2.0,6.0,255
256,3.0,8.0,4.0,256
257,4.0,5.0,5.0,257
258,3.0,1.0,4.0,258
259,4.0,4.0,1.0,259
260,5.0,10.0,4.0,260
261,10.0,1.0,9.0,261
262,3.0,8.0,8.0,262
263,3.0,5.0,6.0,263
264,5.0,4.0,4.0,264
265,4.0,6.0,4.0,265
266,5.0,0.0,10.0,266
267,2.0,4.0,5.0,267
268,5.0,2.0,8.0,268
269,5.0,3.0,4.0,269
270,9.0,10.0,1.0,270
271,5.0,8.0,4.0,271
272,9.0,4.0,9.0,272
273,13.0,6.0,4.0,273
274,2.0,7.0,3.0,274
275,14.0,2.0,6.0,275
276,3.0,5.0,11.0,276
277,4.0,6.0,7.0,277
278,3.0,1.0,7.0,278
279,5.0,7.0,4.0,279
280,5.0,4.0,0.0,280
281,5.0,5.0,3.0,281
282,1.0,5.0,12.0,282
283,6.0,8.0,10.0,283
284,12.0,14.0,5.0,284
285,6.0,4.0,4.0,285
286,1.0,6.0,4.0,286
287,9.0,15.0,7.0,287
288,3.0,4.0,4.0,288
289,8.0,1.0,17.0,289
290,6.0,6.0,9.0,290
291,7.0,4.0,4.0,291
292,9.0,4.0,8.0,292
293,4.0,5.0,1.0,293
294,5.0,4.0,13.0,294
295,10.0,3.0,4.0,295
296,7.0,5.0,7.0,296
297,14.0,1.0,3.0,297
298,3.0,5.0,6.0,298
299,2.0,6.0,7.0,299
300,3.0,11.0,7.0,300
301,6.0,7.0,8.0,301
302,4.0,3.0,2.0,302
303,9.0,0.0,5.0,303
304,3.0,3.0,3.0,304
305,10.0,2.0,2.0,305
306,2.0,2.0,17.0,306
307,3.0,6.0,2.0,307
308,4.0,1.0,4.0,308
309,8.0,7.0,4.0,309
310,6.0,3.0,0.0,310
311,10.0,2.0,4.0,311
312,5.0,3.0,3.0,312
313,5.0,5.0,7.0,313
314,12.0,3.0,4.0,314
315,7.0,7.0,12.0,315
316,4.0,1.0,5.0,316
317,4.0,9.0,4.0,317
318,3.0,5.0,9.0,318
319,6.0,2.0,3.0,319
320,4.0,3.0,3.0,320
321,9.0,4.0,6.0,321
322,7.0,1.0,1.0,322
323,3.0,1.0,17.0,323
324,8.0,5.0,3.0,324
325,1.0,2.0,3.0,325
326,2.0,4.0,4.0,326
327,1.0,8.0,4.0,327
328,4.0,5.0,3.0,328
329,3.0,2.0,5.0,329
330,4.0,9.0,7.0,330
331,4.0,6.0,2.0,331
332,8.0,1.0,11.0,332
333,8.0,8.0,4.0,333
334,3.0,5.0,2.0,334
335,6.0,3.0,3.0,335
336,5.0,4.0,5.0,336
337,2.0,7.0,5.0,337
338,2.0,13.0,2.0,338
339,2.0,8.0,2.0,339
340,3.0,2.0,2.0,340
341,4.0,6.0,6.0,341
342,5.0,4.0,12.0,342
343,3.0,4.0,8.0,343
344,8.0,8.0,4.0,344
345,6.0,14.0,2.0,345
346,0.0,6.0,1.0,346
347,3.0,4.0,4.0,347
348,6.0,3.0,3.0,348
349,7.0,3.0,4.0,349
350,2.0,2.0,2.0,350
351,4.0,10.0,4.0,351
352,4.0,9.0,3.0,352
353,1.0,3.0,2.0,353
354,5.0,1.0,2.0,354
355,4.0,1.0,3.0,355
356,9.0,1.0,7.0,356
357,5.0,8.0,3.0,357
358,9.0,3.0,6.0,358
359,4.0,4.0,6.0,359
360,1.0,9.0,2.0,360
361,8.0,3.0,2.0,361
362,13.0,4.0,4.0,362
363,1.0,4.0,3.0,363
364,2.0,4.0,3.0,364
365,5.0,4.0,7.0,365
366,5.0,7.0,5.0,366
367,5.0,5.0,3.0,367
368,3.0,1.0,7.0,368
369,8.0,4.0,6.0,369
370,5.0,4.0,1.0,370
371,2.0,3.0,4.0,371
372,5.0,6.0,6.0,372
373,3.0,3.0,2.0,373
374,1.0,2.0,3.0,374
375,3.0,4.0,2.0,375
376,3.0,9.0,2.0,376
377,6.0,9.0,3.0,377
378,9.0,8.0,3.0,378
379,3.0,4.0,2.0,379
380,4.0,7.0,4.0,380
381,2.0,5.0,6.0,381
382,7.0,6.0,1.0,382
383,10.0,8.0,3.0,383
384,9.0,5.0,2.0,384
385,7.0,2.0,5.0,385
386,3.0,1.0,1.0,386
387,7.0,5.0,10.0,387
388,10.0,8.0,8.0,388
389,3.0,4.0,7.0,389
390,7.0,8.0,2.0,390
391,9.0,4.0,3.0,391
392,10.0,7.0,10.0,392
393,6.0,1.0,4.0,393
394,5.0,2.0,2.0,394
395,9.0,5.0,1.0,395
396,4.0,20.0,5.0,396
397,6.0,10.0,4.0,397
398,3.0,5.0,5.0,398
399,1.0,3.0,5.0,399
400,4.0,3.0,2.0,400
401,4.0,5.0,6.0,401
402,6.0,3.0,2.0,402
403,12.0,4.0,6.0,403
404,4.0,1.0,4.0,404
405,4.0,2.0,8.0,405
406,2.0,4.0,1.0,406
407,5.0,3.0,11.0,407
408,6.0,5.0,1.0,408
409,5.0,1.0,4.0,409
410,10.0,2.0,6.0,410
411,1.0,6.0,6.0,411
412,3.0,5.0,6.0,412
413,10.0,3.0,3.0,413
414,3.0,8.0,2.0,414
415,2.0,3.0,5.0,415
416,7.0,4.0,9.0,416
417,3.0,12.0,10.0,417
418,2.0,3.0,7.0,418
419,6.0,7.0,7.0,419
420,4.0,5.0,11.0,420
421,8.0,4.0,8.0,421
422,2.0,8.0,10.0,422
423,8.0,4.0,12.0,423
424,13.0,4.0,14.0,424
425,2.0,3.0,2.0,425
426,0.0,11.0,4.0,426
427,3.0,4.0,10.0,427
428,5.0,4.0,5.0,428
429,5.0,3.0,1.0,429
430,10.0,6.0,2.0,430
431,3.0,4.0,2.0,431
432,1.0,2.0,4.0,432
433,8.0,3.0,6.0,433
434,5.0,1.0,9.0,434
435,4.0,7.0,8.0,435
436,3.0,5.0,8.0,436
437,7.0,3.0,11.0,437
438,10.0,5.0,9.0,438
439,2.0,3.0,6.0,439
440,2.0,2.0,6.0,440
441,4.0,3.0,8.0,441
442,12.0,5.0,3.0,442
443,2.0,4.0,4.0,443
444,9.0,2.0,4.0,444
445,3.0,3.0,9.0,445
446,3.0,2.0,5.0,446
447,6.0,2.0,3.0,447
448,2.0,3.0,5.0,448
449,3.0,5.0,4.0,449
450,6.0,9.0,3.0,450
451,5.0,7.0,6.0,451
452,3.0,3.0,5.0,452
453,3.0,5.0,3.0,453
454,7.0,1.0,4.0,454
455,9.0,4.0,5.0,455
456,13.0,8.0,2.0,456
457,2.0,2.0,3.0,457
458,12.0,5.0,3.0,458
459,5.0,4.0,6.0,459
460,6.0,7.0,3.0,460
461,8.0,14.0,10.0,461
462,11.0,5.0,3.0,462
463,2.0,3.0,2.0,463
464,4.0,6.0,4.0,464
465,6.0,4.0,2.0,465
466,2.0,5.0,11.0,466
467,5.0,5.0,5.0,467
468,7.0,2.0,1.0,468
469,2.0,7.0,2.0,469
470,14.0,2.0,4.0,470
471,3.0,11.0,3.0,471
472,7.0,2.0,8.0,472
473,1.0,7.0,3.0,473
474,6.0,10.0,6.0,474
475,2.0,1.0,3.0,475
476,3.0,1.0,4.0,476
477,2.0,11.0,11.0,477
478,7.0,3.0,5.0,478
479,2.0,2.0,11.0,479
480,5.0,7.0,7.0,480
481,5.0,2.0,6.0,481
482,3.0,2.0,4.0,482
